ign,team_name,game_id,sub,role,champion,kills,deaths,assists,cs,dmg,gold,exp,cs/min,dmg/min,gold/min,exp/min,cs_diff,dmg_diff,gold_diff,exp_diff,kp,fb,vision,plates,solo_kills,gold_perc,dmg_perc
hpgamer7,the kitchen,4767105459,False,TOP,Mordekaiser,2,6,0,184,15510,9230,10638,7.82,659.07,392.21,452.04,15,3785,-607,-2239,0.33,False,0.51,1,2,25.91,37.27
SANTIx9,the kitchen,4767105459,False,JUNGLE,Poppy,0,7,2,113,4682,6865,7246,4.8,198.95,291.71,307.9,-48,-9665,-4528,-4303,0.33,False,0.17,2,0,19.27,11.25
ximmykun,the kitchen,4767105459,False,MIDDLE,Yasuo,1,5,0,202,9660,7865,11361,8.58,410.48,334.21,482.76,39,-4855,-2887,-1932,0.17,False,0.76,0,0,22.08,23.21
op2001,the kitchen,4767105459,False,BOTTOM,Jinx,2,6,0,111,7155,6454,6088,4.72,304.04,274.25,258.7,-15,-10334,-5915,-2906,0.33,False,0.59,0,0,18.12,17.19
farlon636,the kitchen,4767105459,False,SUPPORT,Nautilus,1,8,2,32,4612,5206,6406,1.36,195.98,221.22,272.21,3,-2025,-2198,-865,0.5,False,1.36,0,1,14.62,11.08
RaceGurramLucky,Weaver's Wall,4767105459,False,TOP,Darius,4,0,7,169,11725,9837,12877,7.18,498.23,418.0,547.18,-15,-3785,607,2239,0.34,False,1.32,1,1,19.01,18.12
Uninam,Weaver's Wall,4767105459,False,JUNGLE,Graves,7,1,11,161,14347,11393,11549,6.84,609.65,484.12,490.75,48,9665,4528,4303,0.56,False,0.42,0,2,22.01,22.17
KuroTheDivine,Weaver's Wall,4767105459,False,MIDDLE,Swain,7,0,13,163,14515,10752,13293,6.93,616.78,456.88,564.86,-39,4855,2887,1932,0.62,False,0.42,0,2,20.77,22.43
MaadMas0,Weaver's Wall,4767105459,False,BOTTOM,Caitlyn,13,1,5,126,17489,12369,8994,5.35,743.16,525.59,382.18,15,10334,5915,2906,0.56,True,0.68,4,2,23.9,27.03
TheOldGodCthulhu,Weaver's Wall,4767105459,False,SUPPORT,Thresh,1,4,15,29,6637,7404,7271,1.23,282.03,314.62,308.97,-3,2025,2198,865,0.5,False,2.17,3,0,14.31,10.26
hpgamer7,the kitchen,4767151646,False,TOP,Kayle,1,5,2,179,6643,7516,11468,7.55,280.1,316.91,483.54,27,-726,-905,72,0.27,False,0.38,1,1,20.31,16.42
SANTIx9,the kitchen,4767151646,False,JUNGLE,Maokai,0,9,8,114,5979,6423,8039,4.81,252.1,270.82,338.96,-15,-16247,-4998,-2429,0.73,False,0.42,0,0,17.35,14.78
ximmykun,the kitchen,4767151646,False,MIDDLE,Akali,5,5,2,120,10578,9158,10314,5.06,446.02,386.14,434.88,-49,-8737,-711,-2177,0.64,False,0.34,0,1,24.74,26.15
op2001,the kitchen,4767151646,False,BOTTOM,Jinx,4,10,3,119,12563,7903,7613,5.02,529.71,333.23,321.0,-32,-9965,-5572,-2780,0.64,False,0.51,0,0,21.35,31.05
farlon636,the kitchen,4767151646,False,SUPPORT,Thresh,1,6,6,40,4695,6013,6856,1.69,197.96,253.53,289.08,16,-1321,-3,-339,0.64,False,1.64,0,0,16.25,11.6
RaceGurramLucky,Weaver's Wall,4767151646,False,TOP,Nasus,2,2,9,152,7369,8421,11396,6.41,310.71,355.07,480.51,-27,726,905,-72,0.32,False,0.59,2,0,17.12,9.51
Uninam,Weaver's Wall,4767151646,False,JUNGLE,Graves,10,3,12,129,22226,11421,10468,5.44,937.15,481.56,441.38,15,16247,4998,2429,0.65,True,0.93,4,2,23.21,28.7
KuroTheDivine,Weaver's Wall,4767151646,False,MIDDLE,Rumble,6,1,10,169,19315,9869,12491,7.13,814.41,416.12,526.68,49,8737,711,2177,0.47,False,0.46,1,1,20.06,24.94
MaadMas0,Weaver's Wall,4767151646,False,BOTTOM,MissFortune,16,2,10,151,22528,13475,10393,6.37,949.88,568.17,438.22,32,9965,5572,2780,0.76,False,0.51,3,1,27.39,29.09
TheOldGodCthulhu,Weaver's Wall,4767151646,False,SUPPORT,Blitzcrank,0,3,19,24,6016,6016,7195,1.01,253.66,253.66,303.37,-16,1321,3,339,0.56,False,1.56,0,0,12.23,7.77
Mach 27,MUNCHES,4767164895,False,TOP,Garen,9,3,4,230,26882,15122,18123,6.84,799.66,449.84,539.11,76,5435,4832,2339,0.52,False,0.42,2,2,24.96,24.26
mat2u,MUNCHES,4767164895,False,JUNGLE,JarvanIV,0,11,18,174,9863,10382,13230,5.18,293.4,308.83,393.55,10,-11601,-2066,-2430,0.72,False,1.25,0,0,17.13,8.9
BossSax,MUNCHES,4767164895,False,MIDDLE,Swain,8,6,12,219,39530,13161,16143,6.51,1175.9,391.5,480.21,46,4117,-1468,-1417,0.8,False,0.51,0,0,21.72,35.68
FIGHTMEHNOW,MUNCHES,4767164895,False,BOTTOM,Zeri,6,10,5,261,27943,13931,12716,7.76,831.22,414.41,378.26,42,-20762,-4901,-2335,0.44,False,0.71,1,0,22.99,25.22
